formatName,Type,use,schema:encodingFormat,,mediaType,extension,source,AltIdentifierString,Notes,ECRRID-Original,formatId-DataOne,formatType,ECRR Format registry id
Windows Media Video File,DATA,video/x-ms-wmv,video/x-ms-wmv,TRUE,video/x-ms-wmv,wmv,DataOne; https://www.loc.gov/preservation/digital/formats/fdd/fdd000091.shtml,,,,video/x-ms-wmv,DATA,
WMO Binary format (BUFR),DATA,application/octet-stream;type=WMO-BUFR,application/octet-stream;type=WMO-BUFR,TRUE,application/octet-stream,,ECRR,,"BUFR: WMO Binary Universal Form, http://www.wmo.int/pages/prog/www/WMOCodes/OperationalCodes.html",application/octet-stream;type=WMO-BUFR,,DATA,
WMO GRIB v. 1 data format,DATA,application/octet-stream;type=WMO-GRIBv1,application/octet-stream;type=WMO-GRIBv1,TRUE,application/octet-stream,,ECRR,GRIB; GRIB-1: WMO GRIB Edition 1,default to v1. http://www.wmo.ch/pages/prog/www/WMOCodes/Guides/GRIB/GRIB1-Contents.html,application/octet-stream;type=WMO-GRIBv1,,DATA,
WMO GRIB v. 2 data format,DATA,application/octet-stream;type=WMO-GRIBv2,application/octet-stream;type=WMO-GRIBv2,TRUE,application/octet-stream,,ECRR,GRIB-2: WMO GRIB Edition 2,http://www.wmo.ch/pages/prog/www/WMOCodes/Guides/GRIB/GRIB2_062006.pdf,application/octet-stream;type=WMO-GRIBv2,,DATA,
WQX-Outbound 3.0 format,DATA,http://www.exchangenetwork.net/schema/wqx/3,http://www.exchangenetwork.net/schema/wqx/3,TRUE,application/xml,,ECRR,WQX,,http://www.exchangenetwork.net/schema/wqx/3,,,
Xarray data,DATA,,,TRUE,,,ECRR,Xarray,,,,DATA,
XML GeosciML v4.1,DATA,http://www.opengis.net/doc/geosciml/4.1,http://www.opengis.net/doc/geosciml/4.1,TRUE,application/xml,,ECRR,,,http://www.opengis.net/doc/geosciml/4.1,,,
XML sparql result format,DATA,application/xml;type=sparql-results,application/sparql-results+xml,FALSE,application/xml,,ECRR,,,application/sparql-results+xml,,DATA,
XML THREDDS Client Catalog format,DATA,application/xml;type=thredds-catalog1.0.7,application/xml;type=thredds-catalog1.0.7,TRUE,application/xml,,ECRR,,,application/xml;type=thredds-catalog1.0.7,,DATA,
XML WFS 1.0 response format,DATA,http://schemas.opengis.net/wfs/1.0.0/wfs.xsd,http://schemas.opengis.net/wfs/1.0.0/wfs.xsd,TRUE,application/xml,,ECRR,xml:wfs:1.0.0 ; application/xml;type=ogcwfs1.0.0,,http://schemas.opengis.net/wfs/1.0.0/wfs.xsd,,,
XML WFS 1.1 response format,DATA,http://schemas.opengis.net/wfs/1.1.0/wfs.xsd,http://schemas.opengis.net/wfs/1.1.0/wfs.xsd,TRUE,application/xml,,ECRR,xml:wfs1.1.0; application/xml;type=ogcwfs1.1.0,,http://schemas.opengis.net/wfs/1.1.0/wfs.xsd,,,
ZARR data,DATA,application/octet-stream;type=ZARR,application/octet-stream;type=ZARR,TRUE,application/octet-stream,,ECRR,ZARR,,application/octet-stream;type=ZARR,,DATA,
ZIP archive format,Wrapper,application/zip,application/zip,TRUE,application/zip,zip,DataOne; IANA,,"content of archive is not specified, could be anything.",,application/zip,Wrapper,
